id,title,titleEn,author,pages,difficulty,genre,startedAt,finishedAt,notes,isbn10,isbn13
miller-s-novel-1,ミラーさん みんなの日本語初級シリーズ,Miller's Novel 1: Everyone's Japanese for Beginners Series,横山悠太,147,2,literary,2026-09-05,,"I'm using this book to learn the basics of Japanese.",4883197557,978-4-88-319755-2
chotto-kite,ちょっと来て！,Come Here a Minute!,"髙橋温子, 吉田裕美子, 米勢治子",17,1,slice-of-life,2026-09-18,2026-09-18,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/61273/",,
inu-to-niku,犬と肉〜イソップ物語より,The Dog and the Meat — from Aesop's Fables,NPO多言語多読,11,1,folk-tales,2026-09-18,2026-09-18,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/40182/",,
a-marui,あっ、まるい,"Oh, It's Round!","池田あきつ, 田中麻美, 田中るり子, 中越尚美",17,1,slice-of-life,2026-09-18,2026-09-18,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/39479/",,
akai,赤い・・・,Red...,"粟野真紀子, 岡安江津子, 中越尚美, 松田緑",11,1,romance,2026-09-18,2026-09-18,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/8644/",,
janken,じゃんけん,Rock! Paper! Scissors!,長田奈都子,12,1,slice-of-life,2026-09-18,2026-09-18,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/8597/",,
docchi,どっち？,Which One?,川名恭子,24,1,slice-of-life,2026-09-19,2026-09-19,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/8137/",,
douzo-doumo,どうぞどうも,Here You Go / Thank You,"片山智子, 作田奈苗, ジョンソン知亜紀, 宮城恵弥子",14,1,romance,2026-09-19,2026-09-19,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/6812/",,
tkg,TKG,TKG: Tamago Kake Gohan,"粟野真紀子, 大越貴子, 川名恭子, 熊谷由香",10,1,nonfiction,2026-09-19,2026-09-19,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/6459/",,
nani-o-nomimasu-ka,何を飲みますか？,What Will You Drink?,川名恭子,14,1,nonfiction,2026-09-19,2026-09-19,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/6447/",,
arimasu-ka,ありますか？,Is There Any...?,"石井友美, 加藤みゆき, 熊谷由香, 田中るり子",19,1,nonfiction,2026-09-19,2026-09-19,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/6346/",,
ame,雨,Rain,"曲云菲, ジェニングス榎本早苗, 松田緑, 横山りえこ",10,1,slice-of-life,2026-09-19,2026-09-19,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/6301/",,
sumimasen,すみません,Excuse Me,"川本かず子, 中越尚美",10,1,slice-of-life,2026-09-19,2026-09-19,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/5509/",,
are-wa-nani,あれは何？,What Is That?,中越尚美,16,1,slice-of-life,2026-09-20,2026-09-20,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/5372/",,
atta,あった！,Found It!,"粟野真紀子, 遠藤樹子, 小川和子",17,1,slice-of-life,2026-09-20,2026-09-20,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/5277/",,
aichan-1,にほんごえほん あいちゃん１（１）,Aichan 1,"遠藤和彦, 葛西厚子, 志田紀子",13,1,slice-of-life,2026-09-20,2026-09-20,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/5159/",,
aichan-2,にほんごえほん あいちゃん２（２）,Aichan 2,"遠藤和彦, 葛西厚子, 志田紀子, 瀬戸稔彦, 七見広子",12,1,slice-of-life,2026-09-20,2026-09-20,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/5175/",,
shiroi-kuroi,白い？黒い？,White? Black?,中越尚美,14,1,nonfiction,2026-09-20,2026-09-20,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/4982/",,
taihen,たいへん！！,Oh No!!,"黒田史彦, 田所直子, 田中るり子",9,1,slice-of-life,2026-09-20,2026-09-20,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/4156/",,
aoi,青い,Blue,"大森優, 藤巻和代, 前川紘子, 宮城恵弥子",10,1,nonfiction,2026-09-20,2026-09-20,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/4155/",,
kitsune-to-tsuru,キツネとツル〜イソップ物語より,The Fox and the Crane — from Aesop's Fables,NPO多言語多読,8,1,folk-tales,2026-09-21,2026-09-21,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/45891/",,
zaru-soba,ざるそば,Zaru Soba,"大越貴子, 川本かず子, 松田緑",14,1,nonfiction,2026-09-21,2026-09-21,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/44963/",,
hanasuke-ohanami,チワワの花すけ〜お花見,Hanasuke the Chihuahua: Cherry Blossom Viewing,丸山京子,15,1,slice-of-life,2026-09-21,2026-09-21,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/40469/",,
nihiki-no-kaeru,2匹のカエル,The Two Frogs,新美南吉,15,1,literary,2026-09-21,2026-09-21,"Free Tadoku Level 0 reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/40280/",,
tatami-seikatsu,畳生活,Tatami Life,"片山智子, ヨハネス・シューンヘル",12,1,slice-of-life,2026-09-21,2026-09-21,"Free Tadoku Level 0 reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/39413/",,
boku-no-otosan,ぼくのお父さん,Which One Is My Dad?,川本かず子,12,1,science,2026-09-21,2026-09-21,"Free Tadoku Level Start reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/38558/",,
yoru-no-sora-de,夜の空で,In the Night Sky,塚越紗衣,15,1,fantasy,2026-09-21,2026-09-21,"Free Tadoku Level 0 reader (CC BY-NC-ND 4.0); no commercial ISBN. https://tadoku.org/japanese/book/38369/",,
